epoch,loss,acc,val_loss,val_acc,network
71,0.0219,0.9940,0.0319,0.9940,pool_dropout
72,0.0246,0.9937,0.0295,0.9935,pool_dropout
73,0.0217,0.9937,0.0270,0.9949,pool_dropout
74,0.0196,0.9947,0.0271,0.9952,pool_dropout
75,0.0254,0.9937,0.0379,0.9940,pool_dropout
76,0.0270,0.9931,0.0306,0.9940,pool_dropout
77,0.0154,0.9955,0.0417,0.9934,pool_dropout
78,0.0137,0.9965,0.0267,0.9950,pool_dropout
79,0.0241,0.9936,0.0348,0.9931,pool_dropout
80,0.0202,0.9952,0.0314,0.9943,pool_dropout
81,0.0201,0.9944,0.0274,0.9945,pool_dropout
82,0.0194,0.9953,0.0314,0.9943,pool_dropout
83,0.0175,0.9955,0.0326,0.9943,pool_dropout
84,0.0256,0.9942,0.0307,0.9941,pool_dropout
85,0.0181,0.9951,0.0378,0.9936,pool_dropout
86,0.0189,0.9947,0.0384,0.9935,pool_dropout
87,0.0189,0.9949,0.0318,0.9945,pool_dropout
88,0.0217,0.9948,0.0324,0.9939,pool_dropout
89,0.0211,0.9952,0.0375,0.9934,pool_dropout
90,0.0202,0.9952,0.0293,0.9950,pool_dropout
91,0.0273,0.9935,0.0329,0.9941,pool_dropout
92,0.0141,0.9963,0.0286,0.9948,pool_dropout
93,0.0194,0.9954,0.0338,0.9940,pool_dropout
94,0.0221,0.9947,0.0351,0.9945,pool_dropout
95,0.0190,0.9952,0.0366,0.9950,pool_dropout
96,0.0189,0.9953,0.0404,0.9926,pool_dropout
97,0.0187,0.9951,0.0304,0.9952,pool_dropout
98,0.0156,0.9965,0.0376,0.9948,pool_dropout
99,0.0231,0.9946,0.0374,0.9939,pool_dropout
100,0.0194,0.9953,0.0435,0.9935,pool_dropout
1,1.1519,0.6792,0.2741,0.9317,dropout_no_pool
2,0.2941,0.9167,0.1422,0.9602,dropout_no_pool
3,0.1743,0.9504,0.1027,0.9748,dropout_no_pool
4,0.1280,0.9622,0.0973,0.9742,dropout_no_pool
5,0.0957,0.9718,0.0714,0.9825,dropout_no_pool
6,0.0844,0.9755,0.0741,0.9804,dropout_no_pool
7,0.0780,0.9770,0.0720,0.9799,dropout_no_pool
8,0.0716,0.9779,0.0744,0.9811,dropout_no_pool
9,0.0591,0.9833,0.0536,0.9867,dropout_no_pool
10,0.0616,0.9822,0.0587,0.9850,dropout_no_pool
11,0.0467,0.9865,0.0629,0.9844,dropout_no_pool
12,0.0441,0.9865,0.0688,0.9842,dropout_no_pool
13,0.0515,0.9858,0.0781,0.9807,dropout_no_pool
14,0.0429,0.9885,0.0772,0.9814,dropout_no_pool
15,0.0400,0.9880,0.0603,0.9875,dropout_no_pool
16,0.0352,0.9895,0.0714,0.9839,dropout_no_pool
17,0.0419,0.9878,0.0536,0.9879,dropout_no_pool
18,0.0349,0.9906,0.0637,0.9862,dropout_no_pool
19,0.0351,0.9905,0.0527,0.9888,dropout_no_pool
20,0.0377,0.9892,0.0702,0.9853,dropout_no_pool
21,0.0324,0.9903,0.0764,0.9824,dropout_no_pool
22,0.0419,0.9895,0.0589,0.9881,dropout_no_pool
